filename,total_words,total_ai_mentions,normalized_score,generative ai,generative artificial intelligence,genai,large language model,llm,gpt,chatgpt,foundation model,diffusion model,artificial intelligence,machine learning,deep learning,\bai\b,company,quarter,year,quarter_year,ticker,Ticker,Company,Fiscal Year,Fiscal Year End,Revenue,Employees,Assets,Revenue per Employee
"Electronic Arts Inc., Q1 2024 Earnings Call, Aug 01, 2023.txt",10182,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electronic Arts Inc.,Q1,2024,Q1_2024,EA,EA,ELECTRONIC ARTS INC,2024.0,2025-03-31,7463000000.0,14500.0,12368000000.0,514689.6552
"Honeywell International Inc., Q4 2021 Earnings Call, Feb 03, 2022.txt",12539,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honeywell International Inc.,Q4,2021,Q4_2021,HON,HON,HONEYWELL INTERNATIONAL INC,2021.0,2021-12-31,34392000000.0,99000.0,64470000000.0,347393.9394
"JPMorgan Chase  Co., Q2 2024 Earnings Call, Jul 12, 2024.txt",10104,1,9.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,JPMorgan Chase  Co.,Q2,2024,Q2_2024,JPM,JPM,JPMORGAN CHASE & CO,2024.0,2024-12-31,278803000000.0,317233.0,4002814000000.0,878858.7568
"Honeywell International Inc., Q4 2023 Earnings Call, Feb 01, 2024.txt",11162,3,0.000269,0,0,0,0,1,0,0,0,0,0,0,0,2,Honeywell International Inc.,Q4,2023,Q4_2023,HON,HON,HONEYWELL INTERNATIONAL INC,2023.0,2023-12-31,36662000000.0,95000.0,61525000000.0,385915.7895
"Deere  Company, Q2 2024 Earnings Call, May 16, 2024.txt",9892,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deere  Company,Q2,2024,Q2_2024,DE,DE,DEERE & CO,2024.0,2024-10-31,51659000000.0,75800.0,107320000000.0,681517.1504
"Deere  Company, Q3 2024 Earnings Call, Aug 15, 2024.txt",10598,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deere  Company,Q3,2024,Q3_2024,DE,DE,DEERE & CO,2024.0,2024-10-31,51659000000.0,75800.0,107320000000.0,681517.1504
"JPMorgan Chase  Co., Q3 2024 Earnings Call, Oct 11, 2024.txt",12051,3,0.000249,0,0,0,0,0,0,0,0,0,0,0,0,3,JPMorgan Chase  Co.,Q3,2024,Q3_2024,JPM,JPM,JPMORGAN CHASE & CO,2024.0,2024-12-31,278803000000.0,317233.0,4002814000000.0,878858.7568
"Caterpillar Inc., Q2 2023 Earnings Call, Aug 01, 2023.txt",10456,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caterpillar Inc.,Q2,2023,Q2_2023,CAT,CAT,CATERPILLAR INC,2023.0,2023-12-31,67060000000.0,113200.0,87476000000.0,592402.8269
"JPMorgan Chase  Co., Q1 2024 Earnings Call, Apr 12, 2024.txt",11517,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase  Co.,Q1,2024,Q1_2024,JPM,JPM,JPMORGAN CHASE & CO,2024.0,2024-12-31,278803000000.0,317233.0,4002814000000.0,878858.7568
"Caterpillar Inc., Q2 2024 Earnings Call, Aug 06, 2024.txt",10633,2,0.000188,1,0,0,0,0,0,0,0,0,0,0,0,1,Caterpillar Inc.,Q2,2024,Q2_2024,CAT,CAT,CATERPILLAR INC,2024.0,2024-12-31,64809000000.0,112900.0,87764000000.0,574038.9725
"Caterpillar Inc., Q4 2024 Earnings Call, Jan 30, 2025.txt",10858,4,0.000368,2,0,0,0,0,0,0,0,0,0,0,0,2,Caterpillar Inc.,Q4,2024,Q4_2024,CAT,CAT,CATERPILLAR INC,2024.0,2024-12-31,64809000000.0,112900.0,87764000000.0,574038.9725
"Deere  Company, Q4 2023 Earnings Call, Nov 22, 2023.txt",10445,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deere  Company,Q4,2023,Q4_2023,DE,DE,DEERE & CO,2023.0,2023-10-31,61251000000.0,82956.0,104087000000.0,738355.2727
